Date,FB,AMZN,ATVI,V,MSFT,HD,AIZ,FISV,MCD,GPN
2016-08-08,125.260002,766.559998,40.362881,79.224174,56.34296,132.430939,82.415817,103.989998,114.223091,73.892433
2016-08-09,125.059998,768.309998,40.998985,79.333183,56.478825,132.333679,82.435257,104.190002,114.242393,74.841812
2016-08-10,124.879997,768.559998,40.849895,78.956627,56.304142,131.837845,82.435257,104.190002,114.715553,74.671913
2016-08-11,124.900002,771.23999,41.05862,79.392654,56.575859,133.237869,82.88253,103.389999,115.275612,74.811829
2016-08-12,124.879997,772.559998,40.889652,79.293549,56.226505,132.78093,82.833923,103.360001,115.410797,74.651917
2016-08-15,123.900002,768.48999,41.227585,80.175468,56.40118,133.257339,83.41732,102.970001,114.445175,74.901794
2016-08-16,123.300003,764.039978,39.070793,80.076385,56.088711,132.450348,82.833923,101.540001,113.885117,73.492508
2016-08-17,124.370003,764.630005,39.637321,80.245125,56.205887,132.372574,83.42704,102.779999,113.074005,74.182152
2016-08-18,123.910004,764.460022,39.77647,79.679314,56.244946,131.060028,83.757645,102.510002,113.102966,74.122192
2016-08-19,123.559998,757.309998,39.736713,79.877861,56.264477,131.701736,84.467453,102.540001,111.055862,74.711884
2016-08-22,124.150002,759.47998,39.875858,80.463509,56.313301,131.585037,84.311867,102.839996,111.451767,75.381546
2016-08-23,124.370003,762.450012,40.392696,80.205421,56.528126,132.440643,84.331314,104.120003,111.229668,76.211121
2016-08-24,123.480003,757.25,40.422512,79.699181,56.586712,131.31282,84.438278,102.720001,110.92067,75.461502
2016-08-25,123.889999,759.219971,40.74057,79.728951,56.801537,131.672562,85.709641,103.019997,111.461426,76.570938
2016-08-26,124.959999,769.0,40.800201,79.977119,56.664833,130.632248,85.758545,103.470001,110.505463,76.101181
2016-08-29,126.540001,771.289978,41.038742,80.27491,56.733185,131.487839,86.765862,103.279999,111.442116,75.881287
2016-08-30,125.839996,767.580017,41.326977,80.572701,56.528126,131.048096,87.528671,102.940002,112.259537,76.411018
2016-08-31,126.120003,769.159973,41.118252,80.304688,56.108238,131.067612,87.577568,103.050003,112.551483,75.91127
2016-09-01,126.169998,770.619995,41.893509,80.701759,56.23518,131.17511,87.293968,103.800003,112.29847,76.78083
2016-09-02,126.510002,772.440002,42.539551,81.396599,56.313301,132.074173,88.252373,104.339996,112.716911,76.281082
2016-09-06,129.729996,788.869995,43.245232,81.922691,56.254715,131.048096,87.900299,103.699997,114.09874,76.670883
2016-09-07,131.050003,784.47998,43.116024,82.627464,56.303535,129.767883,88.144791,103.129997,113.777603,76.391029
2016-09-08,130.270004,784.059998,43.03651,82.359467,56.078945,128.272705,87.968758,102.269997,113.04776,76.23111
2016-09-09,127.099998,760.140015,42.032658,80.731522,54.887646,124.832817,87.264633,100.279999,111.500504,73.582458
2016-09-12,128.690002,771.48999,43.195534,82.359467,55.707886,125.663475,88.31105,101.160004,112.833672,74.551964
2016-09-13,127.209999,761.01001,43.14584,81.287399,55.200119,122.858788,86.521362,99.330002,111.646469,73.142677
2016-09-14,127.769997,761.090027,43.394318,80.890343,54.93647,123.386505,85.406471,98.379997,112.084373,73.482513
2016-09-15,128.350006,769.690002,44.318661,81.406525,55.844593,124.070564,85.944351,99.93,113.01857,76.011223
2016-09-16,129.070007,778.52002,44.149693,81.46608,55.903187,123.239906,85.924805,99.209999,112.181686,74.262123
2016-09-19,128.649994,775.099976,43.851521,81.90284,55.59071,123.415817,87.646034,99.300003,112.113564,74.402039
2016-09-20,128.639999,780.219971,43.861462,81.873062,55.473537,123.943527,87.333084,99.339996,113.320236,74.392052
2016-09-21,129.940002,789.73999,44.39817,82.607613,56.401176,125.194389,88.70224,101.5,113.787338,76.291084
2016-09-22,130.080002,804.700012,44.239147,82.74659,56.45977,125.819832,89.269463,102.330002,114.20578,76.011223
2016-09-23,127.959999,805.75,44.090061,81.932617,56.078945,124.881683,88.154572,101.190002,114.020889,75.381546
2016-09-26,127.309998,799.159973,43.712372,81.207993,55.561417,122.594925,87.958992,100.25,113.398094,75.581444
2016-09-27,128.690002,816.109985,43.940971,81.55542,56.586712,123.933762,88.712021,100.610001,113.738678,76.041214
2016-09-28,129.229996,828.719971,43.891277,82.359467,56.664833,125.350754,89.748672,100.230003,112.084373,76.740852
2016-09-29,128.089996,829.049988,43.940971,81.317177,56.049652,125.018486,89.455292,99.720001,111.704849,76.051193
2016-09-30,128.270004,837.309998,44.030426,82.091438,56.244946,125.751427,90.218102,99.470001,112.259537,76.720863
2016-10-03,128.770004,836.73999,43.831642,82.250267,56.069183,125.575523,88.545769,99.75,111.558884,77.080681
2016-10-04,128.190002,834.030029,43.861462,82.121223,55.893414,125.282341,88.408852,98.889999,110.449524,76.401024
