Date,AMZN,EQIX,ATVI,AVY,V,FISV,GOOGL,GOOG,INFO,RTN
2016-07-18,736.070007,380.399994,41.883568,71.895538,77.599075,110.260002,753.200012,733.780029,35.200001,134.602219
2016-07-19,739.950012,380.01001,41.267342,71.018875,78.005356,110.389999,753.409973,736.960022,36.349998,134.563217
2016-07-20,745.719971,379.450012,41.128193,71.525398,78.639542,110.910004,757.080017,741.190002,35.66,134.768036
2016-07-21,744.429993,372.559998,41.018864,70.483154,78.074722,109.93,754.409973,738.630005,36.200001,131.569016
2016-07-22,744.859985,376.859985,41.187828,70.716927,79.184547,110.480003,759.280029,742.73999,35.650002,132.251724
2016-07-25,739.609985,376.329987,42.141987,70.38575,78.223358,110.349998,757.52002,739.77002,35.040001,132.212708
2016-07-26,735.590027,377.440002,41.307098,74.389145,77.777443,110.919998,757.650024,738.419983,34.889999,132.046906
2016-07-27,736.669983,373.73999,40.641174,76.512596,77.817078,110.0,761.969971,741.77002,34.610001,131.998154
2016-07-28,752.609985,380.170013,40.024948,76.122971,78.471092,110.709999,765.840027,745.909973,34.84,134.651001
2016-07-29,758.809998,372.869995,39.915619,75.869713,77.341446,110.360001,791.340027,768.789978,34.740002,136.084671
2016-08-01,767.73999,378.970001,39.826164,76.122971,77.549538,110.349998,800.940002,772.880005,34.75,136.777176
2016-08-02,760.580017,373.459991,39.508114,75.830757,77.569351,109.410004,800.119995,771.070007,34.630001,137.71347
2016-08-03,754.640015,370.339996,40.134281,75.236572,77.995445,104.449997,798.919983,773.179993,34.849998,137.206284
2016-08-04,760.77002,371.399994,40.581543,75.382683,78.758461,105.580002,797.25,771.609985,34.68,137.001495
2016-08-05,765.97998,365.5,40.313187,76.424934,79.41246,105.190002,806.929993,782.219971,35.099998,137.284317
2016-08-08,766.559998,364.299988,40.362881,76.678185,79.224174,103.989998,805.22998,781.76001,35.110001,136.504089
2016-08-09,768.309998,367.230011,40.998985,76.687935,79.333183,104.190002,807.47998,784.26001,35.029999,136.66011
2016-08-10,768.559998,367.829987,40.849895,76.648956,78.956627,104.190002,808.48999,784.679993,35.029999,137.313568
2016-08-11,771.23999,367.75,41.05862,76.269081,79.392654,103.389999,808.200012,784.849976,35.549999,138.805801
2016-08-12,772.559998,369.040009,40.889652,76.161942,79.293549,103.360001,807.049988,783.219971,35.259998,138.737534
2016-08-15,768.48999,371.329987,41.227585,76.142448,80.175468,102.970001,805.960022,782.440002,35.32,139.00087
2016-08-16,764.039978,367.079987,39.070793,75.295021,80.076385,101.540001,801.190002,777.140015,35.259998,137.723206
2016-08-17,764.630005,367.0,39.637321,75.285286,80.245125,102.779999,805.419983,779.909973,35.880001,138.561981
2016-08-18,764.460022,363.970001,39.77647,74.954094,79.679314,102.510002,802.75,777.5,36.240002,139.069107
2016-08-19,757.309998,366.309998,39.736713,75.441132,79.877861,102.540001,799.650024,775.419983,36.310001,138.981339
2016-08-22,759.47998,366.970001,39.875858,75.158653,80.463509,102.839996,796.950012,772.150024,36.34,139.12764
2016-08-23,762.450012,368.140015,40.392696,76.132706,80.205421,104.120003,796.590027,772.080017,36.419998,137.693939
2016-08-24,757.25,364.769989,40.422512,75.363205,79.699181,102.720001,793.599976,769.640015,36.419998,137.58667
2016-08-25,759.219971,363.980011,40.74057,75.879456,79.728951,103.019997,791.299988,769.409973,36.560001,138.279114
2016-08-26,769.0,364.720001,40.800201,74.934616,79.977119,103.470001,793.219971,769.539978,37.060001,137.440369
2016-08-29,771.289978,368.339996,41.038742,75.363205,80.27491,103.279999,795.820007,772.150024,37.470001,137.908508
2016-08-30,767.580017,368.070007,41.326977,75.489822,80.572701,102.940002,791.919983,769.090027,37.240002,136.88446
2016-08-31,769.159973,368.649994,41.118252,75.431389,80.304688,103.050003,789.849976,767.049988,37.32,136.669891
2016-09-01,770.619995,366.76001,41.893509,75.333977,80.701759,103.800003,791.400024,768.780029,37.060001,136.504089
2016-09-02,772.440002,371.459991,42.539551,76.518883,81.396599,104.339996,796.869995,771.460022,37.5,136.669891
2016-09-06,788.869995,377.970001,43.245232,76.489502,81.922691,103.699997,808.02002,780.080017,37.32,137.674454
2016-09-07,784.47998,378.200012,43.116024,76.704941,82.627464,103.129997,807.98999,780.349976,37.759998,136.543076
2016-09-08,784.059998,373.029999,43.03651,76.009674,82.359467,102.269997,802.840027,775.320007,37.689999,136.230972
