Date,CFG,PRU,PNC,RF,MTB,SCHW,HBAN,RJF,USB,KEY
2016-08-23,23.015036,74.31868,83.438965,9.409873,115.097595,30.122128,9.34391,55.497124,42.229683,11.899564
2016-08-24,22.975914,74.561676,83.400017,9.370948,114.307571,29.933987,9.217903,55.369041,42.035255,11.84075
2016-08-25,23.122629,75.125443,83.594727,9.390409,114.551399,30.191441,9.305139,55.753277,42.1908,12.017185
2016-08-26,23.592125,75.397591,84.392998,9.526644,114.795235,30.646936,9.392374,56.324699,42.1908,12.075997
2016-08-29,23.924683,76.408463,85.590408,9.59476,115.292656,30.745956,9.460223,56.502037,42.618538,12.075997
2016-08-30,24.188774,77.331848,86.515228,9.701802,115.72435,31.300472,9.586231,57.329617,42.851849,12.24263
2016-08-31,24.227901,77.156898,87.712639,9.701802,116.097183,31.151941,9.702545,57.309906,42.919903,12.311244
2016-09-01,23.983372,76.632011,87.60556,9.58503,115.106232,30.676641,9.65408,56.807453,42.803242,12.193621
2016-09-02,24.13987,77.263817,88.140976,9.662878,115.125847,30.963802,9.712238,57.231094,42.929623,12.301442
2016-09-06,23.768187,76.38903,87.109077,9.623953,113.614922,30.42909,9.557152,56.699078,42.637981,12.105403
2016-09-07,24.032276,76.311264,88.02417,9.756191,113.811142,30.468699,9.595923,57.152275,42.44355,12.125008
2016-09-08,24.374619,76.486229,88.3162,9.726805,114.017174,30.617229,9.586231,57.162132,42.618538,12.154413
2016-09-09,24.267023,76.962509,87.537415,9.628851,114.880569,30.349874,9.557152,56.5513,42.20052,12.017185
2016-09-12,24.521332,77.506821,88.49144,9.71701,115.90094,30.56772,9.692853,57.270508,42.579655,12.370055
2016-09-13,24.081182,76.690346,87.537415,9.413354,113.948502,30.14193,9.576538,55.989731,42.025532,12.075997
2016-09-14,23.865995,77.331848,86.924103,9.325195,113.389244,29.914181,9.498996,55.615349,41.724163,11.977978
2016-09-15,23.944246,78.19693,87.926819,9.432944,113.467751,30.627134,9.55757,56.541443,41.831104,12.125008
2016-09-16,23.572563,77.195786,87.021446,9.364376,112.643593,30.23105,9.498995,55.516819,41.413086,12.017185
2016-09-19,23.660595,77.604012,87.722374,9.462331,112.859444,30.587523,9.489233,55.615349,41.665844,12.017185
2016-09-20,23.641029,77.710938,87.965752,9.452534,113.153786,30.448893,9.479469,56.127659,41.821384,11.948571
2016-09-21,23.777966,78.439926,88.335686,9.481921,113.5168,30.825172,9.498995,56.925678,42.054695,11.997581
2016-09-22,23.709499,77.895622,87.615295,9.57008,114.350769,30.934097,9.645433,57.782818,41.967197,12.095601
2016-09-23,23.875776,78.090012,87.040924,9.579875,114.910004,30.369678,9.664959,57.152275,41.76305,12.066195
2016-09-26,23.435627,77.186066,85.444374,9.364376,112.005867,30.161734,9.381844,55.812386,41.286709,11.772138
2016-09-27,23.777966,78.401047,86.203712,9.511307,113.350006,30.42909,9.508758,56.157211,41.704727,11.909364
2016-09-28,23.875776,79.363327,87.040924,9.628851,113.526611,30.755859,9.684484,56.728642,41.890648,11.997581
2016-09-29,23.523657,77.730377,86.63205,9.472126,112.3787,30.389481,9.479469,56.00692,41.567734,11.811345
2016-09-30,24.169212,79.363327,87.702904,9.668033,113.909248,31.260866,9.625909,57.54921,41.968929,11.928968
2016-10-03,24.061623,79.14949,87.031189,9.71701,113.026237,31.171747,9.567334,57.37125,41.74387,11.909364
2016-10-04,24.443083,80.277,88.102036,9.873735,114.282089,31.538122,9.645433,57.895241,41.929787,12.164214
2016-10-05,25.010391,82.415398,89.095009,10.09903,115.832268,32.290684,9.899262,58.804794,42.712612,12.507284
2016-10-06,25.127766,82.629227,89.387062,10.108825,116.106979,32.112446,9.918786,58.587296,42.947456,12.477876
2016-10-07,24.941923,82.162666,88.997658,10.11862,115.606613,32.082741,9.92855,58.290699,42.761532,12.428867
2016-10-10,24.981049,82.561188,89.260513,10.157802,115.665474,32.132248,9.918786,58.34013,42.859386,12.546491
2016-10-11,24.41374,82.007149,88.111771,10.050053,113.870003,31.587631,9.782111,57.638191,42.36034,12.487679
2016-10-12,24.697395,82.123795,87.985222,10.030461,114.654915,31.419298,9.733298,57.430576,42.467979,12.448471
2016-10-13,23.983372,81.336472,86.134033,9.746396,111.034538,31.122234,9.489233,56.758293,41.959145,12.066195
2016-10-14,24.247463,82.065468,86.222183,9.84435,111.721336,31.656948,9.586859,57.539326,41.929787,12.272037
2016-10-17,24.042057,82.143227,86.398483,9.805168,111.848885,31.37969,9.430656,57.381145,41.802578,12.105403
2016-10-18,24.306149,82.007149,88.014603,10.040257,113.094917,31.894596,9.567334,57.786488,42.086353,12.379859
2016-10-19,24.7463,82.133507,89.718872,10.324323,115.282837,32.221367,9.791873,58.320358,42.644115,12.664115
2016-10-20,24.990828,81.569748,91.383949,10.39289,116.607353,31.854988,9.899262,58.142403,43.006168,12.762135
2016-10-21,25.401636,80.82132,91.011757,10.422277,116.666237,31.954014,9.821161,58.083084,42.90831,12.781737
2016-10-24,25.773321,81.200401,91.109703,10.39289,116.676041,31.87479,9.860211,58.142403,43.074661,12.840549
2016-10-25,25.880915,80.568596,91.227242,10.402686,116.803596,31.399492,9.948074,57.885353,42.898525,13.595299
2016-10-26,26.281942,81.550316,92.343826,10.530025,117.922081,31.835188,10.445966,58.458771,43.280155,13.899159
2016-10-27,26.281942,82.395943,93.470215,10.618184,119.678314,31.845087,10.494781,61.256645,43.740059,13.987378
2016-10-28,25.773321,82.133507,93.146988,10.432072,119.766602,31.577732,10.30929,60.090034,43.681347,13.791337
2016-10-31,25.881407,82.415398,93.636719,10.490845,120.414154,31.389593,10.348341,59.437531,43.798767,13.840347
2016-11-01,26.3727,81.822472,93.607338,10.618184,120.571129,31.340078,10.30929,59.684692,43.505211,13.859952
2016-11-02,25.645586,81.44339,92.823761,10.294938,119.511505,30.755859,10.084751,58.172062,43.055092,13.673715
2016-11-03,25.812624,84.242744,92.951096,10.245959,119.119064,30.844978,10.006651,58.696045,43.104015,13.683517
2016-11-04,25.950188,83.387383,92.70623,10.304732,119.511505,30.597425,9.918786,58.41922,42.986599,13.771733
2016-11-07,26.873821,86.332527,94.420296,10.735729,122.523575,31.993618,10.2019,60.25811,43.955334,14.252028
2016-11-08,26.480785,86.264488,94.655357,10.667161,122.76886,32.09264,10.006651,60.614021,44.014042,14.124604
2016-11-09,27.709023,90.891182,99.1707,11.303861,129.057907,33.452164,10.65098,64.529068,45.667751,14.928363
2016-11-10,29.084648,95.002716,103.803558,11.930765,131.186966,34.990307,11.3246,66.575569,46.587566,15.477272
2016-11-11,29.330296,95.187393,103.754578,12.195239,133.433746,35.804035,11.422224,66.980919,46.871342,16.006578
2016-11-14,30.342361,95.916382,105.88002,12.998461,137.309219,36.478832,11.676052,69.294357,47.68351,16.457468
2016-11-15,30.40132,95.964996,106.546051,13.253139,136.22998,36.915466,11.676052,71.083801,47.654163,16.751524
2016-11-16,30.194975,94.90551,105.302132,12.626237,134.15979,36.419292,11.646763,70.836647,46.84198,16.398655
2016-11-17,31.177563,96.38295,108.328674,12.900507,137.269989,36.756691,11.939642,71.884613,47.63459,16.663307
2016-11-18,31.413383,97.058388,108.955536,12.988665,138.594482,37.193325,12.203232,72.448143,48.172779,16.673109
2016-11-21,31.374083,98.448433,108.436417,12.841734,138.39827,37.808582,12.144655,71.499039,48.221703,16.839745
2016-11-22,31.364256,98.174339,108.48539,12.880915,139.605057,37.947517,12.222757,72.497574,47.97707,16.839745
2016-11-23,31.835899,98.51696,108.85759,13.027845,140.860901,38.81086,12.310619,72.003258,48.290195,17.17301
2016-11-25,31.894854,98.663788,109.768494,13.086618,140.998291,38.691776,12.261807,71.677002,48.358692,17.069588
2016-11-28,31.226692,97.303116,107.545113,12.812348,138.064697,38.056667,11.968929,70.362083,47.849865,16.744545
