Date,O,T,SJM,NEM,SCG,GIS,AWK,TSN,CPB,REG
2016-10-14,59.177612,37.350262,129.43161,34.010044,67.000916,59.688118,69.925537,70.517876,52.904949,71.566704
2016-10-17,59.759468,37.397877,128.985687,34.804905,67.666489,59.678459,69.93528,70.488319,52.271996,71.287933
2016-10-18,59.769005,37.483585,128.171387,35.937572,68.090912,59.813717,70.598175,70.498161,52.982845,71.355232
2016-10-19,59.654545,37.502628,128.753036,36.742371,68.139145,59.485229,69.8573,69.424339,52.125927,71.182198
2016-10-20,59.568695,36.80743,125.806107,36.772179,68.033035,58.934532,69.945038,68.774139,51.794846,71.172585
2016-10-21,59.044067,35.702736,126.029053,36.116417,67.91729,58.65435,69.789055,68.508133,51.911697,70.903419
2016-10-24,59.425617,35.102768,125.912735,35.609699,68.303116,58.828255,70.276474,68.793831,51.736416,71.268707
2016-10-25,59.425617,34.950394,126.20356,36.354874,68.756485,59.031143,70.812637,68.015556,52.038288,70.797684
2016-10-26,58.481293,34.693272,126.484665,35.947517,68.949402,58.779945,70.685921,67.651047,52.252518,69.942162
2016-10-27,56.382797,34.778973,125.321419,34.566444,68.611794,58.664013,70.500687,67.887482,51.609829,68.000381
2016-10-28,56.021,34.769455,127.880577,35.152657,69.01693,59.572186,70.705406,68.70517,52.788094,68.288765
2016-10-31,56.700569,35.036106,127.289261,36.801987,70.762848,59.881348,72.177429,69.798698,52.91468,69.278877
2016-11-01,55.26487,34.817074,126.940277,37.706139,69.180901,59.543201,71.212326,70.035133,52.009071,67.606262
2016-11-02,54.279015,34.636127,126.659164,36.941082,68.582855,59.301666,70.666412,69.266708,51.512455,66.145134
2016-11-03,54.125877,34.883732,126.232651,37.50742,68.496048,59.050461,70.276474,68.93177,51.346912,66.79879
2016-11-04,54.920296,34.75993,125.311729,37.557098,68.496048,58.596382,68.814209,66.183151,51.230057,66.635376
2016-11-07,55.944424,35.055153,127.444359,36.25552,69.682495,59.736427,69.926567,68.360367,52.437534,67.317879
