Date,LH,PFE,WAT,MCO,EBAY,ZBH,CSCO,MRK,MDT,ABBV
2016-06-02,129.559998,32.944973,139.759995,97.648849,24.25,121.417397,27.594719,54.330421,80.350601,61.683289
2016-06-03,128.899994,32.774918,138.380005,96.835022,23.98,120.340622,27.642162,54.158314,80.302185,61.597996
2016-06-06,129.979996,33.001667,138.779999,99.031372,23.99,120.064026,27.613697,54.665089,80.670097,59.532097
2016-06-07,129.580002,32.91663,138.210007,98.237144,24.280001,117.979645,27.585224,54.502541,81.057381,59.79744
2016-06-08,131.479996,33.303997,139.679993,99.099998,24.23,118.305641,27.651649,55.095371,82.093346,58.499146
2016-06-09,131.190002,33.360687,140.050003,99.099998,24.33,117.950012,27.651649,54.674648,83.051857,57.570435
2016-06-10,130.300003,33.341789,138.039993,97.501785,24.07,117.782082,27.547272,54.320869,82.974411,57.80735
2016-06-13,127.540001,32.822159,135.630005,96.403603,23.889999,116.804108,27.366976,54.089512,82.974411,56.793358
2016-06-14,127.790001,33.058353,135.910004,96.325157,23.879999,115.401344,27.480846,54.224464,82.77108,56.764927
2016-06-15,126.389999,32.869389,134.990005,96.433014,23.959999,115.006203,27.18668,54.070229,81.551163,57.238754
2016-06-16,127.349998,32.8316,135.369995,95.079918,23.85,115.292686,27.395445,55.429455,81.899712,57.712589
2016-06-17,125.699997,32.330856,134.020004,94.805374,23.790001,115.065483,27.471357,53.87743,81.464027,56.869167
2016-06-20,127.510002,32.595406,136.460007,96.727173,24.57,116.221268,27.329018,54.118423,81.783539,56.96394
2016-06-21,128.229996,32.8316,136.100006,96.550682,24.700001,117.149849,27.30055,54.224464,81.899712,56.84074
2016-06-22,129.759995,32.567062,137.229996,96.344772,24.34,117.427002,27.253105,54.986023,81.580208,57.229275
2016-06-23,131.179993,32.680435,138.399994,99.71772,24.85,119.693787,27.727564,55.602974,83.042183,58.101128
2016-06-24,129.619995,32.094662,135.529999,91.834435,23.129999,115.506683,26.332647,53.867786,80.612022,56.72702
2016-06-27,125.529999,31.934048,132.5,86.167099,22.719999,114.170364,25.915123,53.318314,79.760002,55.60878
2016-06-28,126.470001,32.538715,133.990005,87.363312,22.99,116.130295,26.370605,53.57859,81.464027,56.850216
2016-06-29,129.380005,33.077244,134.649994,89.794983,23.309999,117.941734,26.816599,54.995659,82.732361,58.574959
2016-06-30,130.270004,33.266205,140.649994,91.883469,23.41,119.159264,27.224638,55.535492,84.010384,58.669727
2016-07-01,131.289993,33.606331,142.070007,92.246239,23.780001,119.456223,27.329018,55.853607,84.2621,59.427853
2016-07-05,130.729996,33.83308,141.520004,90.77549,23.76,118.733627,27.127932,55.911449,84.281471,58.679203
2016-07-06,131.970001,33.880322,142.649994,91.157883,23.83,120.545059,27.501381,57.029675,85.089058,60.05331
2016-07-07,131.970001,33.795292,142.470001,92.393326,23.93,120.782623,27.520531,56.663357,85.127991,60.110168
2016-07-08,135.300003,34.125965,146.529999,94.844604,24.610001,123.623528,28.018467,57.212837,85.974495,60.801971
2016-07-11,135.550003,34.154312,145.779999,95.942757,24.860001,123.8116,28.181255,57.203197,86.120453,60.982018
2016-07-12,136.25,34.239346,147.610001,98.217545,25.129999,124.187744,28.353617,57.453835,86.519379,62.071827
2016-07-13,135.899994,34.305481,147.919998,99.737328,25.120001,124.296638,28.487677,57.405636,86.353966,61.918869
2016-07-14,136.320007,34.881798,149.270004,101.00219,26.08,125.009331,28.497252,57.502033,86.431808,60.819492
2016-07-15,136.190002,34.740086,148.830002,101.32576,26.34,124.148148,28.554705,57.482754,85.974495,60.5327
2016-07-18,136.419998,34.61726,148.929993,101.933662,26.49,123.554237,28.640888,56.894718,85.809097,60.762135
2016-07-19,136.800003,34.61726,148.789993,101.570877,26.5,123.257278,28.650463,56.54768,85.993958,60.5327
2016-07-20,138.119995,34.655048,150.580002,102.198418,26.99,125.207306,29.330336,56.673,86.353966,60.618736
