Date,Open,High,Low,Close,Adj Close,Volume,100movingaverage,3dexpmv,10dexpmv,SwingIndex,TrueRange,PDM,NDM,Gapo10,Gapo5,Adj Close_1d_percentC,Adj Close_2d_percentC,Adj Close_3d_percentC,Adj Close_4d_percentC,Adj Close_5d_percentC,Adj Close_6d_percentC,Adj Close_7d_percentC,Adj Close_classHigh,Adj Close_classMedium,Adj Close_classLow,EQIX,AVY,MAS,STZ,BSX,AMZN,FB,GPN,BDX,FBHS
2016-02-17,100.089996,101.959999,99.489998,101.790001,99.80793,1054600,100.588368375,96.8733592316,96.5598747946,2.442989019,2.790001,2.019997,0.0,1.16996820336,1.30888573858,-0.00884175235375,-0.00785940556026,0.0154240650016,0.0132625533863,0.0260339634336,0.0465664101039,0.0449947113421,-1,0,0,290.649994,61.843773,26.677826,139.453934,17.57,534.099976,105.199997,59.143963,140.137054,48.415424
2016-02-18,102.220001,102.550003,100.410004,100.889999,98.925453,768100,100.537977,98.3423630723,95.8902188896,-0.22518610151,2.139999,0.590004,0.0,1.11793366953,1.44541234323,0.00099110994215,0.0244822836444,0.0223014899917,0.0351868290156,0.0559024379701,0.054316718671,0.0395479614331,1,0,0,290.309998,61.824501,26.481882,137.804184,17.209999,525.0,103.470001,57.96487,139.232666,48.493626
2016-02-19,100.440002,101.139999,99.790001,100.989998,99.023499,1542500,100.493433529,99.3906785918,95.0616290717,0.00696095076401,1.349998,0.0,0.620003,1.09482048509,1.48021879395,0.023467914419,0.0212892800324,0.0341618609134,0.0548569587508,0.0532728095177,0.038518675249,0.057789272827,1,1,1,299.369995,62.219456,27.059921,136.998947,17.16,534.900024,104.57,59.113983,140.905258,48.46431
2016-02-22,101.830002,103.669998,101.830002,103.360001,101.347374,923200,100.517831829,99.4068336659,94.9207303363,2.43873896262,2.68,2.529999,0.0,1.08062652299,1.23086541802,-0.00212867873617,0.0104487364419,0.0306692998281,0.0291214748199,0.0147056498968,0.0335343765296,0.0384841643751,-1,0,0,299.829987,62.643303,27.226469,138.069321,17.26,559.5,107.160004,61.412189,141.663727,49.128998
2016-02-23,103.260002,103.800003,102.080002,103.139999,101.131638,624200,100.534882,100.130180146,95.7780712613,0.0142999727008,1.720001,0.130005,0.0,1.07736779626,1.11946493314,0.0126042455675,0.0328679438575,0.0313168169985,0.016870239954,0.0357391323969,0.0406994792273,0.0419637818978,1,1,0,292.059998,61.641483,27.784914,136.959656,17.24,552.940002,105.459999,60.532883,142.422272,49.979424
2016-02-24,102.449997,104.540001,101.290001,104.440002,102.406326,788900,100.585461568,101.478408668,96.9264872434,0.656524206749,3.25,0.0,0.790001,1.08206700619,0.907732477855,0.0200114688227,0.018479649392,0.00421289403547,0.0228469186562,0.0277455222835,0.0289940877285,0.0340848279236,1,1,1,295.01001,62.402485,28.098425,136.576675,17.33,554.039978,106.879997,61.841858,143.404388,50.077477
2016-02-25,103.800003,106.580002,103.800003,106.529999,104.455627,924600,100.687308026,102.142554916,98.1047367817,1.72048641339,2.779999,2.040001,0.0,1.10788802518,0.968129684288,-0.00150176686987,-0.0154886246578,0.00277982152173,0.00758232009847,0.00880639010477,0.0137972557476,-0.00108105234005,-1,0,0,307.48999,63.808903,28.323757,141.054611,17.32,555.150024,108.07,62.331482,144.57132,49.940197
2016-02-26,106.730003,107.080002,105.93,106.370003,104.298759,629900,100.779909333,103.388467998,99.5962099425,0.0685320872072,1.150002,0.5,0.0,1.17201883865,1.19013667694,-0.0140078943796,0.00428802801,0.00909774966738,0.0103236607063,0.0153220327387,0.000421347295225,-0.000333043272356,-1,-1,0,306.769989,64.011177,28.157206,139.493225,17.209999,555.22998,107.919998,61.552086,145.514572,50.175537
2016-02-29,106.029999,106.529999,104.779999,104.879997,102.837753,652900,100.831355425,104.105989488,100.488149185,-0.138470883523,1.75,0.0,1.150001,1.07114525358,1.09114644978,0.0185558507876,0.0234339036949,0.0246772311332,0.0297466145531,0.0146342365143,0.013869128393,0.0211383556776,1,1,0,303.690002,63.081257,27.628159,138.884369,16.98,552.52002,106.919998,60.902592,143.384949,49.243999
2016-03-01,105.589996,107.089996,105.18,106.489998,104.745995,637900,100.926834439,103.933274644,101.302935544,1.47333640715,2.209999,0.559997,0.0,0.976350024863,1.09114644978,0.00478918549583,0.00600986223865,0.0109868926253,-0.00385017107337,-0.00460134060496,0.00253545732226,0.00272322583789,1,0,0,308.399994,64.698967,28.607878,141.918762,17.219999,579.039978,109.82,62.661224,145.981323,50.381458
