Date,Open,High,Low,Close,Adj Close,Volume,100movingaverage,3dexpmv,10dexpmv,SwingIndex,TrueRange,PDM,NDM,Gapo10,Gapo5,Adj Close_1d_percentC,Adj Close_2d_percentC,Adj Close_3d_percentC,Adj Close_4d_percentC,Adj Close_5d_percentC,Adj Close_6d_percentC,Adj Close_7d_percentC,Adj Close_classHigh,Adj Close_classMedium,Adj Close_classLow,CFG,PRU,PNC,RF,MTB,SCHW,HBAN,RJF,USB,KEY
2016-03-17,13.22,13.48,13.05,13.4,13.093257,122212300,13.1884072075,13.1503723314,13.1089591564,0.0387719298246,0.43,0.0,0.04,-0.0506099933551,-0.108331850392,0.0291044466629,0.0328356802284,0.0268656606985,0.0164179164894,0.020895412043,0.0164179164894,0.00149252397627,1,1,1,21.02919,70.017502,81.879745,7.84932,107.698471,27.266998,9.188323,46.111412,39.049332,10.758665
2016-03-18,13.68,13.88,13.55,13.79,13.474329,146616200,13.1937020556,13.1197193618,13.1088164368,0.348444444444,0.48,0.4,0.0,-0.0506099933551,-0.146462520673,0.00362570930248,-0.00217547011061,-0.0123277381753,-0.00797687216929,-0.0123277381753,-0.0268310206764,-0.0224802288856,1,0,0,21.367901,71.525505,82.802322,7.955651,109.1819,27.956804,9.303779,46.951572,39.653931,11.009991
2016-03-21,13.8,14.03,13.72,13.84,13.523183,104695700,13.1996926182,13.2904261636,13.1131862161,0.0462222222222,0.31,0.15,0.0,-0.0555173278498,-0.115773076272,-0.00578022200838,-0.0158958138775,-0.011560665858,-0.0158958138775,-0.0303467016604,-0.026011627588,-0.0231213317161,-1,0,0,21.290483,71.153282,82.840767,7.936319,109.094635,27.868114,9.323021,47.127426,39.711514,11.048657
2016-03-22,13.67,13.84,13.63,13.76,13.445016,83252100,13.2040733929,13.4838750405,13.194015865,-0.0,0.21,0.0,0.09,0.0128372247052,-0.0125526478291,-0.0101744021725,-0.00581405035145,-0.0101744021725,-0.0247093049201,-0.0203490274761,-0.0174419279233,-0.0145349771246,-1,-1,0,21.22274,70.742874,82.50441,7.907319,109.017075,27.996222,9.332643,47.00042,39.653931,11.029323
2016-03-23,13.77,13.83,13.6,13.62,13.308221,95789700,13.2059005439,13.459117899,13.2627614181,-0.0355775577558,0.23,0.0,0.03,0.0128372247052,-0.0125526478291,0.00440517181072,0.0,-0.0146843067905,-0.0102792101213,-0.00734222853678,-0.00440539723529,-0.00807636122063,1,0,0,20.990479,69.511658,82.023903,7.810652,108.561378,27.621761,9.265294,46.277489,39.529163,10.884329
2016-03-24,13.41,13.69,13.27,13.68,13.366846,94836500,13.2086754655,13.3884282134,13.3207132935,0.0192156862745,0.42,0.0,0.33,0.0128372247052,-0.0125526478291,-0.00438585138184,-0.0190057549851,-0.0146199784153,-0.0116958779955,-0.00877192719958,-0.0124267908825,-0.0358187713093,-1,0,0,20.893705,67.535965,81.495331,7.79132,107.863304,27.680883,9.226809,45.818333,39.135696,10.816663
2016-03-28,13.73,13.74,13.54,13.62,13.308221,54498500,13.210362678,13.3262303588,13.2930808195,-0.00710280373832,0.2,0.05,0.0,-0.00877392430751,-0.170517199565,-0.0146843067905,-0.0102792101213,-0.00734222853678,-0.00440539723529,-0.00807636122063,-0.0315713873402,-0.0256975744542,-1,-1,0,20.700153,68.729019,81.57222,7.781653,107.940865,27.680883,9.169081,45.96487,39.049332,10.806997
2016-03-29,13.54,13.54,13.26,13.42,13.112799,100934700,13.2087366167,13.3015016583,13.2766077035,0.0607260726073,0.36,0.0,0.28,-0.00877392430751,-0.170517199565,0.00447074648212,0.00745149834143,0.010432097678,0.00670642476866,-0.0171387512308,-0.0111774000349,-0.0424739981144,1,0,0,20.516283,68.261337,81.178192,7.636653,107.766342,27.611902,9.169081,46.629189,39.005871,10.652336
2016-03-30,13.49,13.66,13.46,13.48,13.171423,85897000,13.208124918,13.2226994529,13.273562302,0.0210526315789,0.24,0.12,0.0,-0.00877392430751,-0.338458023906,0.00296748498625,0.00593481812861,0.0022257276226,-0.021513317126,-0.0155784989974,-0.04673580068,-0.0445103008232,1,0,0,20.564672,69.626183,82.023903,7.636653,108.561378,27.759718,9.226809,46.84502,39.585316,10.777998
2016-03-31,13.49,13.71,13.45,13.52,13.210509,79592100,13.208163371,13.1490137426,13.3169201478,0.0312621359223,0.26,0.05,0.0,-0.00877392430751,-0.349264121226,0.00295855367874,-0.000739562722375,-0.0244083706389,-0.0184911118868,-0.0495562283028,-0.0473373130437,-0.0406804915692,1,0,0,20.274347,68.929443,81.2743,7.58832,107.620918,27.611902,9.178702,46.707672,39.19902,10.671667
